,2010-13,2013-16,diff,state
0,-0.9999999999999982,-5.1,4.100000000000001,AK
1,-0.5999999999999979,-5.300000000000001,4.700000000000003,AL
2,0.6999999999999993,-8.1,8.799999999999999,AR
3,-1.8000000000000007,-9.4,7.6,AZ
4,-1.3000000000000007,-10.999999999999998,9.699999999999998,CA
5,-1.6999999999999993,-7.4,5.700000000000001,CO
6,0.5,-5.1000000000000005,5.6000000000000005,CT
7,-0.6999999999999993,-4.2,3.500000000000001,DC
8,-1.5,-3.4000000000000004,1.9000000000000004,DE
9,-1.0,-8.9,7.9,FL
10,-0.6999999999999993,-6.299999999999999,5.6,GA
11,-1.3000000000000007,-3.3999999999999995,2.0999999999999988,HI
12,-1.5,-7.0,5.5,IA
13,-1.0,-7.1,6.1,ID
14,-0.8999999999999986,-6.600000000000001,5.700000000000003,IL
15,-1.0999999999999996,-4.6,3.5,IN
16,-1.700000000000001,-4.199999999999999,2.4999999999999982,KS
17,-0.6999999999999993,-10.8,10.100000000000001,KY
18,-1.3999999999999986,-7.300000000000001,5.900000000000002,LA
19,1.3000000000000007,-3.4000000000000004,4.700000000000001,MA
20,-1.0,-4.699999999999999,3.6999999999999993,MD
21,-0.9000000000000004,-1.2999999999999998,0.39999999999999947,ME
22,-1.4000000000000004,-6.5,5.1,MI
23,-0.8000000000000007,-4.7,3.8999999999999995,MN
24,-1.0,-6.0,5.0,MO
25,0.0,-4.700000000000001,4.700000000000001,MS
26,-0.6999999999999993,-10.0,9.3,MT
27,-0.5,-3.200000000000001,2.700000000000001,NC
28,-1.8000000000000007,-10.200000000000001,8.4,ND
29,-0.1999999999999993,-5.6000000000000005,5.400000000000001,NE
30,0.0,-5.800000000000001,5.800000000000001,NH
31,-0.7000000000000028,-10.7,9.999999999999996,NJ
32,-1.299999999999999,-5.300000000000001,4.000000000000002,NM
33,-1.0,-5.900000000000002,4.900000000000002,NV
34,0.9000000000000004,-4.700000000000001,5.600000000000001,NY
35,-1.3000000000000007,-6.3,4.999999999999999,OH
36,-1.2999999999999972,-4.600000000000001,3.3000000000000043,OK
37,-2.5,-9.799999999999999,7.299999999999999,OR
38,-0.5,-4.8,4.3,PA
39,0.09999999999999964,-8.8,8.9,RI
40,-1.6999999999999993,-6.500000000000002,4.8000000000000025,SC
41,-1.0999999999999996,-2.4000000000000004,1.3000000000000007,SD
42,-0.40000000000000213,-5.6,5.1999999999999975,TN
43,-1.5,-6.199999999999999,4.699999999999999,TX
44,-1.3999999999999986,-5.600000000000001,4.200000000000003,UT
45,-1.0,-3.999999999999999,2.999999999999999,VA
46,-0.8000000000000007,-4.1,3.299999999999999,VT
47,-0.20000000000000107,-9.0,8.799999999999999,WA
48,-0.29999999999999716,-10.600000000000001,10.300000000000004,WI
49,-0.20000000000000107,-4.3,4.099999999999999,WV
50,-1.5,-2.4000000000000004,0.9000000000000004,WY
